INPUT NAME, N, P, R, DISTRIBUTE_READ, TIME, TIME(DD), TIME(BS), TIME(PV), TIME(FE), TIME(FE-PV), SPEEDUP, SPEEDUP(DD), SPEEDUP(BS), SPEEDUP(PV), SPEEDUP(FE), SPEEDUP(FE-PV) 
matrix_128_0.txt, 128, 1, 8, 0, 34.087321, 17.617002, 8.930200, 0.811080, 7.540119, 6.729040, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 2, 8, 0, 479.940386, 53.541161, 413.768127, 7.066948, 12.631098, 5.564150, 0.041803, 0.329037, 0.021582, 0.114760, 0.596939, 1.209349
matrix_1024_0.txt, 1024, 16, 2, 0, 11924.357666, 3996.250244, 4592.031250, 1170.148560, 3336.076172, 2165.927612, 0.947746, 1.227348, 0.955394, 0.152571, 1.293204, 1.909435
matrix_128_0.txt, 128, 4, 8, 0, 409.247911, 67.371994, 313.793945, 15.179023, 28.081972, 12.902949, 0.053831, 0.261488, 0.028458, 0.053429, 0.268500, 0.521509
matrix_256_0.txt, 256, 1, 8, 0, 219.450756, 102.047989, 61.049835, 4.058055, 56.352932, 52.294877, 1.0, 1.0, 1.0, 1.0
matrix_256_0.txt, 256, 2, 8, 0, 792.668125, 93.405045, 650.052002, 19.729450, 49.211079, 29.481628, 0.153757, 1.092532, 0.093916, 0.205682, 1.145128, 1.773817
matrix_256_0.txt, 256, 4, 8, 0, 1218.171707, 134.477829, 1003.934937, 40.385345, 79.758942, 39.373596, 0.100831, 0.758846, 0.060811, 0.100482, 0.706541, 1.328174
matrix_512_0.txt, 512, 1, 8, 0, 1860.145691, 716.173950, 580.910828, 38.878239, 563.060913, 524.182674, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 16, 4, 0, 584.812271, 211.581146, 199.740021, 51.113861, 173.491104, 122.377243, 0.089669, 0.094314, 0.044207, 0.015573, 0.042994, 0.054446
matrix_256_0.txt, 256, 16, 4, 0, 3638.898254, 402.387115, 2878.383057, 111.464211, 358.128082, 246.663872, 0.035132, 0.243472, 0.022142, 0.039286, 0.164810, 0.221532
matrix_1024_0.txt, 1024, 8, 4, 0, 12975.331787, 4339.152344, 4947.195312, 1176.084717, 3688.984131, 2512.899414, 0.956915, 1.217663, 0.956956, 0.167961, 1.263673, 1.776488
matrix_128_0.txt, 128, 8, 8, 0, 302.422913, 124.466026, 93.696930, 31.773365, 84.259956, 52.486591, 0.141946, 0.141541, 0.095307, 0.025525, 0.089485, 0.128204
matrix_256_0.txt, 256, 8, 8, 0, 3101.759781, 224.340881, 2698.355957, 67.738289, 179.062943, 111.324654, 0.038906, 0.454879, 0.022625, 0.059907, 0.314711, 0.469752
matrix_1024_0.txt, 1024, 1, 8, 0, 13940.475098, 5043.558594, 4484.841797, 192.801880, 4412.074707, 4219.272827, 1.0, 1.0, 1.0, 1.0
matrix_1024_0.txt, 1024, 16, 4, 0, 12590.665039, 3768.291016, 5681.747070, 896.706787, 3140.626953, 2243.920166, 0.848923, 1.402128, 0.833238, 0.220291, 1.484312, 1.989436
matrix_1024_0.txt, 1024, 2, 8, 0, 13548.382324, 4723.759277, 4721.754883, 651.694519, 4102.868164, 3451.173645, 0.957639, 1.067700, 0.949825, 0.295847, 1.075364, 1.222562
matrix_1024_0.txt, 1024, 4, 8, 0, 15733.548828, 5224.062012, 5876.125977, 833.090088, 4633.360840, 3800.270752, 0.791165, 0.965448, 0.763231, 0.231430, 0.952241, 1.110256
matrix_2048_0.txt, 2048, 1, 8, 0, 107280.078125, 37283.093750, 35142.019531, 743.485474, 34854.964844, 34111.479370, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 1, 16, 0, 34.848369, 18.521173, 8.856074, 0.802428, 7.471121, 6.668693, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 2, 16, 0, 120.062868, 52.118919, 55.468941, 6.829702, 12.475008, 5.645306, 0.209288, 0.355360, 0.159657, 0.117428, 0.598877, 1.181335
matrix_128_0.txt, 128, 4, 16, 0, 127.561052, 67.274002, 32.902046, 14.892522, 27.385004, 12.492482, 0.273468, 0.275307, 0.269163, 0.053853, 0.272814, 0.533841
